center,color,diameter,mass
peanut,orange,14.76,2.38
peanut,yellow,14.24,2.37
peanut,red,13.01,2.56
peanut,yellow,14.7,2.52
peanut,green,15.54,2.85
peanut,yellow,13.49,2.45
peanut,brown,14.19,2.62
peanut,orange,13.14,2.64
peanut,blue,13.96,2.6
peanut,yellow,13.39,2.26
peanut,brown,13.74,2.46
peanut,orange,15.53,3.02
peanut,yellow,14.35,2.21
peanut,orange,14.67,2.68
peanut,brown,15.34,2.72
peanut,blue,14.73,2.69
peanut,orange,13.7,2.36
peanut,red,14.17,2.45
peanut,red,15.28,2.89
peanut,brown,15.02,2.47
peanut,brown,15.48,2.52
peanut,orange,14.33,2.16
peanut,brown,13.45,2.07
peanut,red,13.77,2.21
peanut,blue,15.81,2.78
peanut,red,15.23,2.27
peanut,yellow,15.62,2.91
peanut,orange,16.7,3.62
peanut,green,14.67,2.32
peanut,red,14.5,2.4
peanut,brown,15.03,2.6
peanut,red,14.91,2.75
peanut,yellow,15.63,3.02
peanut,green,15.1,2.44
peanut,blue,13.43,2.07
peanut,yellow,14.02,2.32
peanut,green,14.31,2.09
peanut,blue,14.19,2.66
peanut,red,14.6,2.56
peanut,yellow,14.19,2.2
peanut,green,13.71,2.4
peanut,blue,14.78,2.56
peanut,orange,14.3,2.68
peanut,brown,14.18,2.55
peanut,yellow,14.31,2.58
peanut,green,13.9,2.42
peanut,blue,17.1,2.63
peanut,yellow,14.84,2.47
peanut,blue,13.38,2.46
peanut,red,14.33,2.56
peanut,orange,14.22,2.2
peanut,blue,14.43,2.65
peanut,yellow,13.93,2.06
peanut,red,15.62,2.47
peanut,blue,15.71,3.27
peanut,yellow,15.32,2.97
peanut,red,15.43,2.83
peanut,brown,15.11,3.11
peanut,green,14.74,2.47
peanut,orange,13.73,2.37
peanut,orange,16.2,3.15
peanut,green,14.26,2.18
peanut,yellow,13.69,2.77
peanut,orange,14.41,2.28
peanut,green,15.93,3.01
peanut,orange,12.45,2.06
peanut,red,13.77,2
peanut,brown,15.67,2.75
peanut,orange,15.41,2.69
peanut,green,15.34,2.78
peanut,brown,14.43,2.31
peanut,brown,13.8,2.66
peanut,green,16.16,2.68
peanut,yellow,14.64,2.34
peanut,blue,13.13,1.96
peanut,yellow,15.76,3.37
peanut,red,16.06,2.59
peanut,blue,15.69,3.06
peanut,red,14.22,2.36
peanut,blue,14.12,2.22
peanut,orange,15.64,2.51
peanut,orange,13.44,2.52
peanut,yellow,13.62,2.54
peanut,blue,12.84,2.07
peanut,yellow,16.28,2.58
peanut,brown,15.01,2.72
peanut,green,15.35,2.96
peanut,green,14.85,2.89
peanut,green,14.05,2.3
peanut,green,17.06,3.09
peanut,green,14.43,2.61
peanut,brown,14.79,2.66
peanut,green,14.54,2.74
peanut,blue,14.59,2.51
peanut,green,13.11,2.28
peanut,red,14.69,3.07
peanut,yellow,14.32,2.95
peanut,blue,15.37,2.64
peanut,orange,13.99,2.53
peanut,green,16.36,3.48
peanut,red,16.9,3.14
peanut,red,16.1,2.9
peanut,blue,14.32,2.56
peanut,blue,15.81,2.2
peanut,orange,14.44,2.28
peanut,orange,15.79,2.69
peanut,brown,14.16,2.7
peanut,green,14.35,2.34
peanut,yellow,14.19,2.43
peanut,blue,13.78,2.19
peanut,orange,15.61,2.64
peanut,yellow,13.97,2.37
peanut,yellow,13.6,2.24
peanut,green,15.18,2.85
peanut,orange,15.13,2.83
peanut,yellow,15.3,3.14
peanut,yellow,13.45,1.93
peanut,orange,15.61,2.9
peanut,brown,16.13,2.68
peanut,blue,15.31,3.06
peanut,blue,14.56,2.79
peanut,orange,14.13,2.42
peanut,blue,17.88,3.57
peanut,yellow,14.81,2.51
peanut,blue,16.27,3.25
peanut,orange,14.91,2.76
peanut,brown,14.76,2.33
peanut,orange,14.45,2.31
peanut,brown,15.01,2.5
peanut,orange,14.71,2.58
peanut,brown,14.21,2.28
peanut,orange,12.67,1.97
peanut,blue,15.47,2.6
peanut,blue,14,2.48
peanut,green,15.9,2.83
peanut,brown,15.29,2.96
peanut,blue,13.97,2.01
peanut,brown,14.88,2.47
peanut,green,16.73,3.08
peanut,red,16.6,3.2
peanut,green,15.14,2.81
peanut,orange,14.04,2.5
peanut,brown,13.62,2.17
peanut,brown,15.81,2.83
peanut,green,16.05,3.08
peanut,orange,15.05,2.81
peanut,blue,14.35,2.01
peanut,yellow,14.31,2.76
peanut,red,15.89,2.63
peanut,green,15.48,2.81
peanut,green,14.08,2.59
peanut,red,15.22,2.69
peanut,yellow,16.33,3.04