datetime,depth,temp
2011-01-19 12:00:00,0,0.3
2011-01-19 12:00:00,1,1.5
2011-01-19 12:00:00,2,1.7
2011-01-19 12:00:00,3,1.7
2011-01-19 12:00:00,4,1.7
2011-01-19 12:00:00,5,1.8
2011-01-19 12:00:00,6,1.8
2011-01-19 12:00:00,7,1.8
2011-01-19 12:00:00,8,1.8
2011-01-19 12:00:00,9,1.8
2011-01-19 12:00:00,10,1.8
2011-01-19 12:00:00,11,1.8
2011-01-19 12:00:00,12,1.9
2011-01-19 12:00:00,13,2
2011-01-19 12:00:00,14,2.2
2011-01-19 12:00:00,15,2.2
2011-01-19 12:00:00,16,2.3
2011-01-19 12:00:00,17,2.5
2011-01-19 12:00:00,18,2.6
2011-01-19 12:00:00,19,2.7
2011-01-19 12:00:00,20,2.7
2011-01-19 12:00:00,21,2.9
2011-01-19 12:00:00,22,2.9
2011-01-19 12:00:00,23,3.2
2011-01-19 12:00:00,24,3.6
2011-01-19 12:00:00,24.6,4.5
2011-04-18 12:00:00,0,6.2
2011-04-18 12:00:00,1,6.1
2011-04-18 12:00:00,2,6.1
2011-04-18 12:00:00,3,6.1
2011-04-18 12:00:00,4,6
2011-04-18 12:00:00,5,6
2011-04-18 12:00:00,6,6
2011-04-18 12:00:00,7,6
2011-04-18 12:00:00,8,6
2011-04-18 12:00:00,9,6
2011-04-18 12:00:00,10,6
2011-04-18 12:00:00,11,6
2011-04-18 12:00:00,12,6
2011-04-18 12:00:00,13,6
2011-04-18 12:00:00,14,6
2011-04-18 12:00:00,15,6
2011-04-18 12:00:00,16,6
2011-04-18 12:00:00,17,6
2011-04-18 12:00:00,18,6
2011-04-18 12:00:00,19,6
2011-04-18 12:00:00,20,6
2011-04-18 12:00:00,21,6
2011-04-18 12:00:00,22,6
2011-04-18 12:00:00,23,6
2011-04-18 12:00:00,24,6
2011-04-18 12:00:00,24.3,6
2011-05-02 12:00:00,0,8
2011-05-02 12:00:00,1,7.9
2011-05-02 12:00:00,2,7.9
2011-05-02 12:00:00,3,7.9
2011-05-02 12:00:00,4,7.9
2011-05-02 12:00:00,5,7.9
2011-05-02 12:00:00,6,7.9
2011-05-02 12:00:00,7,7.9
2011-05-02 12:00:00,8,7.9
2011-05-02 12:00:00,9,7.8
2011-05-02 12:00:00,10,7.8
2011-05-02 12:00:00,11,7.8
2011-05-02 12:00:00,12,7.8
2011-05-02 12:00:00,13,7.8
2011-05-02 12:00:00,14,7.8
2011-05-02 12:00:00,15,7.8
2011-05-02 12:00:00,16,7.8
2011-05-02 12:00:00,17,7.8
2011-05-02 12:00:00,18,7.8
2011-05-02 12:00:00,19,7.8
2011-05-02 12:00:00,20,7.7
2011-05-02 12:00:00,21,7.7
2011-05-02 12:00:00,22,7.7
2011-05-02 12:00:00,23,7.7
2011-05-02 12:00:00,24,7.6
2011-05-02 12:00:00,24.4,7.6
2011-05-17 12:00:00,0,11.2
2011-05-17 12:00:00,1,11.1
2011-05-17 12:00:00,2,11
2011-05-17 12:00:00,3,11
2011-05-17 12:00:00,4,10.7
2011-05-17 12:00:00,5,10.7
2011-05-17 12:00:00,6,10.6
2011-05-17 12:00:00,7,10.5
2011-05-17 12:00:00,8,10.5
2011-05-17 12:00:00,9,10.4
2011-05-17 12:00:00,10,10.3
2011-05-17 12:00:00,11,10.1
2011-05-17 12:00:00,12,10.1
2011-05-17 12:00:00,13,10
2011-05-17 12:00:00,14,10
2011-05-17 12:00:00,15,10
2011-05-17 12:00:00,16,10
2011-05-17 12:00:00,17,10
2011-05-17 12:00:00,18,10
2011-05-17 12:00:00,19,9.9
2011-05-17 12:00:00,20,9.8
2011-05-17 12:00:00,21,9.4
2011-05-17 12:00:00,22,9
2011-05-17 12:00:00,22.9,9
2011-05-31 12:00:00,0,15
2011-05-31 12:00:00,1,14.9
2011-05-31 12:00:00,2,14.8
2011-05-31 12:00:00,3,14.8
2011-05-31 12:00:00,4,14.7
2011-05-31 12:00:00,5,14.7
2011-05-31 12:00:00,6,14.7
2011-05-31 12:00:00,7,14.7
2011-05-31 12:00:00,8,14.7
2011-05-31 12:00:00,9,14.6
2011-05-31 12:00:00,10,14.6
2011-05-31 12:00:00,11,14.3
2011-05-31 12:00:00,12,12.8
2011-05-31 12:00:00,13,12.1
2011-05-31 12:00:00,14,11.9
2011-05-31 12:00:00,15,11.7
2011-05-31 12:00:00,16,11.4
2011-05-31 12:00:00,17,11.3
2011-05-31 12:00:00,18,10.7
2011-05-31 12:00:00,19,10.7
2011-05-31 12:00:00,20,10.5
2011-05-31 12:00:00,21,10.2
2011-05-31 12:00:00,22,10.1
2011-05-31 12:00:00,23,9.9
2011-05-31 12:00:00,24,9.8
2011-06-13 12:00:00,0,18.9
2011-06-13 12:00:00,1,18.8
2011-06-13 12:00:00,2,18.7
2011-06-13 12:00:00,3,18.7
2011-06-13 12:00:00,4,18.7
2011-06-13 12:00:00,5,18.6
2011-06-13 12:00:00,6,18.6
2011-06-13 12:00:00,7,18.6
2011-06-13 12:00:00,8,18.6
2011-06-13 12:00:00,9,16.9
2011-06-13 12:00:00,10,15.7
2011-06-13 12:00:00,11,15.1
2011-06-13 12:00:00,12,14.5
2011-06-13 12:00:00,13,13.8
2011-06-13 12:00:00,14,12.9
2011-06-13 12:00:00,15,12.5
2011-06-13 12:00:00,16,12.2
2011-06-13 12:00:00,17,11.7
2011-06-13 12:00:00,18,11.5
2011-06-13 12:00:00,19,11.3
2011-06-13 12:00:00,20,11.1
2011-06-13 12:00:00,21,11
2011-06-13 12:00:00,22,10.9
2011-06-13 12:00:00,23,10.8
2011-06-13 12:00:00,24,10.8
2011-06-13 12:00:00,24.2,10.8
2011-06-27 12:00:00,0,20.6
2011-06-27 12:00:00,1,20.5
2011-06-27 12:00:00,2,20.3
2011-06-27 12:00:00,3,20.3
2011-06-27 12:00:00,4,20.3
2011-06-27 12:00:00,5,20.2
2011-06-27 12:00:00,6,20.2
2011-06-27 12:00:00,7,20.1
2011-06-27 12:00:00,8,19.9
2011-06-27 12:00:00,8.5,19.9
2011-06-27 12:00:00,9,19.9
2011-06-27 12:00:00,9.5,19.8
2011-06-27 12:00:00,10,18.5
2011-06-27 12:00:00,10.5,17.3
2011-06-27 12:00:00,11,15.6
2011-06-27 12:00:00,11.5,14.8
2011-06-27 12:00:00,12,14.3
2011-06-27 12:00:00,12.5,13.6
2011-06-27 12:00:00,13,13.4
2011-06-27 12:00:00,14,13.2
2011-06-27 12:00:00,15,12.9
2011-06-27 12:00:00,16,12.1
2011-06-27 12:00:00,17,11.8
2011-06-27 12:00:00,18,11.6
2011-06-27 12:00:00,19,11.4
2011-06-27 12:00:00,20,11.4
2011-06-27 12:00:00,21,11.3
2011-06-27 12:00:00,22,11.1
2011-06-27 12:00:00,23,11
2011-06-27 12:00:00,24,11
2011-06-27 12:00:00,24.4,11
2011-07-11 12:00:00,0,25.8
2011-07-11 12:00:00,1,25.8
2011-07-11 12:00:00,2,25.8
2011-07-11 12:00:00,3,25.8
2011-07-11 12:00:00,4,25.8
2011-07-11 12:00:00,5,25.7
2011-07-11 12:00:00,5.5,25.2
2011-07-11 12:00:00,6,24.4
2011-07-11 12:00:00,6.5,23.2
2011-07-11 12:00:00,7,22
2011-07-11 12:00:00,7.5,21.3
2011-07-11 12:00:00,8,21.2
2011-07-11 12:00:00,8.5,20.8
2011-07-11 12:00:00,9,20.6
2011-07-11 12:00:00,9.5,20.4
2011-07-11 12:00:00,10,19.9
2011-07-11 12:00:00,10.5,19
2011-07-11 12:00:00,11,17.9
2011-07-11 12:00:00,11.5,17
2011-07-11 12:00:00,12,15.1
2011-07-11 12:00:00,12.5,14.1
2011-07-11 12:00:00,13,13.5
2011-07-11 12:00:00,14,13
2011-07-11 12:00:00,15,12.6
2011-07-11 12:00:00,16,12.2
2011-07-11 12:00:00,17,11.9
2011-07-11 12:00:00,18,11.7
2011-07-11 12:00:00,19,11.5
2011-07-11 12:00:00,20,11.4
2011-07-11 12:00:00,21,11.4
2011-07-11 12:00:00,22,11.2
2011-07-11 12:00:00,23,11.2
2011-07-11 12:00:00,24,11.2
2011-07-11 12:00:00,24.2,11.2
2011-07-25 12:00:00,0,27.4
2011-07-25 12:00:00,1,27.3
2011-07-25 12:00:00,2,27.2
2011-07-25 12:00:00,3,27.1
2011-07-25 12:00:00,4,27.1
2011-07-25 12:00:00,5,27
2011-07-25 12:00:00,6,27
2011-07-25 12:00:00,6.5,27
2011-07-25 12:00:00,7,26.8
2011-07-25 12:00:00,7.5,24
2011-07-25 12:00:00,8,20.1
2011-07-25 12:00:00,9,18.9
2011-07-25 12:00:00,10,17.1
2011-07-25 12:00:00,11,15.1
2011-07-25 12:00:00,12,14.4
2011-07-25 12:00:00,13,13.7
2011-07-25 12:00:00,14,13.3
2011-07-25 12:00:00,15,12.8
2011-07-25 12:00:00,16,12.4
2011-07-25 12:00:00,17,11.9
2011-07-25 12:00:00,18,11.5
2011-07-25 12:00:00,19,11.5
2011-07-25 12:00:00,20,11.4
2011-07-25 12:00:00,21,11.4
2011-07-25 12:00:00,22,11.4
2011-07-25 12:00:00,23,11.4
2011-07-25 12:00:00,24,11.4
2011-07-25 12:00:00,24.4,11.3
2011-08-04 12:00:00,0,28.1
2011-08-04 12:00:00,1,28.1
2011-08-04 12:00:00,2,27.9
2011-08-04 12:00:00,3,27.8
2011-08-04 12:00:00,4,27.8
2011-08-04 12:00:00,4.5,27.7
2011-08-04 12:00:00,5,27.5
2011-08-04 12:00:00,5.5,26.3
2011-08-04 12:00:00,6,25.5
2011-08-04 12:00:00,6.5,24.8
2011-08-04 12:00:00,7,23.8
2011-08-04 12:00:00,8,21.8
2011-08-04 12:00:00,9,19.9
2011-08-04 12:00:00,10,17.8
2011-08-04 12:00:00,11,16.3
2011-08-04 12:00:00,12,15.4
2011-08-04 12:00:00,13,14.8
2011-08-04 12:00:00,14,13.8
2011-08-04 12:00:00,15,13.1
2011-08-04 12:00:00,16,12.7
2011-08-04 12:00:00,17,12.3
2011-08-04 12:00:00,18,11.6
2011-08-04 12:00:00,19,11.6
2011-08-04 12:00:00,20,11.5
2011-08-04 12:00:00,21,11.4
2011-08-04 12:00:00,22,11.3
2011-08-04 12:00:00,23,11.3
2011-08-04 12:00:00,24,11.3
2011-08-04 12:00:00,24.4,11.3
2011-08-22 12:00:00,0,25.1
2011-08-22 12:00:00,1,25
2011-08-22 12:00:00,2,24.9
2011-08-22 12:00:00,3,24.9
2011-08-22 12:00:00,4,24.9
2011-08-22 12:00:00,5,24.7
2011-08-22 12:00:00,6,24.5
2011-08-22 12:00:00,7,24.3
2011-08-22 12:00:00,7.5,24.3
2011-08-22 12:00:00,8,24.3
2011-08-22 12:00:00,8.5,24.3
2011-08-22 12:00:00,9,23.6
2011-08-22 12:00:00,9.5,21.4
2011-08-22 12:00:00,10,19.5
2011-08-22 12:00:00,10.5,18.7
2011-08-22 12:00:00,11,16.9
2011-08-22 12:00:00,11.5,16.3
2011-08-22 12:00:00,12,15.3
2011-08-22 12:00:00,12.5,14.5
2011-08-22 12:00:00,13,14.1
2011-08-22 12:00:00,14,13.5
2011-08-22 12:00:00,15,12.9
2011-08-22 12:00:00,16,12.5
2011-08-22 12:00:00,17,12.4
2011-08-22 12:00:00,18,12.1
2011-08-22 12:00:00,19,11.9
2011-08-22 12:00:00,20,11.8
2011-08-22 12:00:00,21,11.7
2011-08-22 12:00:00,22,11.5
2011-08-22 12:00:00,23,11.4
2011-08-22 12:00:00,24,11.3
2011-09-12 12:00:00,0,22.5
2011-09-12 12:00:00,1,22.5
2011-09-12 12:00:00,2,22.4
2011-09-12 12:00:00,3,22.4
2011-09-12 12:00:00,4,22.4
2011-09-12 12:00:00,5,22.3
2011-09-12 12:00:00,6,22.2
2011-09-12 12:00:00,7,22.2
2011-09-12 12:00:00,8,22.1
2011-09-12 12:00:00,9,21.7
2011-09-12 12:00:00,10,21.6
2011-09-12 12:00:00,10.5,21.2
2011-09-12 12:00:00,11,20.2
2011-09-12 12:00:00,11.5,18.1
2011-09-12 12:00:00,12,16.4
2011-09-12 12:00:00,12.5,15.6
2011-09-12 12:00:00,13,14.9
2011-09-12 12:00:00,14,13.8
2011-09-12 12:00:00,15,13.1
2011-09-12 12:00:00,16,12.7
2011-09-12 12:00:00,17,12.2
2011-09-12 12:00:00,18,11.9
2011-09-12 12:00:00,19,11.7
2011-09-12 12:00:00,20,11.5
2011-09-12 12:00:00,21,11.5
2011-09-12 12:00:00,22,11.4
2011-09-12 12:00:00,23,11.4
2011-09-12 12:00:00,24,11.3
2011-09-12 12:00:00,24.5,11.3
2011-10-03 12:00:00,0,15.9
2011-10-03 12:00:00,1,15.9
2011-10-03 12:00:00,2,15.8
2011-10-03 12:00:00,3,15.8
2011-10-03 12:00:00,4,15.8
2011-10-03 12:00:00,5,15.7
2011-10-03 12:00:00,6,15.7
2011-10-03 12:00:00,7,15.7
2011-10-03 12:00:00,8,15.6
2011-10-03 12:00:00,9,15.6
2011-10-03 12:00:00,10,15.6
2011-10-03 12:00:00,11,15.6
2011-10-03 12:00:00,12,15.6
2011-10-03 12:00:00,13,15.6
2011-10-03 12:00:00,14,15.6
2011-10-03 12:00:00,15,15.5
2011-10-03 12:00:00,15.5,15.5
2011-10-03 12:00:00,16,15.4
2011-10-03 12:00:00,16.5,15.1
2011-10-03 12:00:00,17,14.9
2011-10-03 12:00:00,17.5,14.2
2011-10-03 12:00:00,18,13.8
2011-10-03 12:00:00,19,12.5
2011-10-03 12:00:00,20,12.3
2011-10-03 12:00:00,21,12.2
2011-10-03 12:00:00,22,12.2
2011-10-03 12:00:00,23,12.1
2011-10-03 12:00:00,24,12
2011-10-03 12:00:00,24.5,12
2011-10-31 12:00:00,0,12.2
2011-10-31 12:00:00,1,12.2
2011-10-31 12:00:00,2,12.2
2011-10-31 12:00:00,3,12.2
2011-10-31 12:00:00,4,12.2
2011-10-31 12:00:00,5,12.2
2011-10-31 12:00:00,6,12.2
2011-10-31 12:00:00,7,12.2
2011-10-31 12:00:00,8,12.2
2011-10-31 12:00:00,9,12.2
2011-10-31 12:00:00,10,12.2
2011-10-31 12:00:00,11,12.2
2011-10-31 12:00:00,12,12.2
2011-10-31 12:00:00,13,12.2
2011-10-31 12:00:00,14,12.2
2011-10-31 12:00:00,15,12.2
2011-10-31 12:00:00,16,12.2
2011-10-31 12:00:00,17,12.2
2011-10-31 12:00:00,18,12.2
2011-10-31 12:00:00,19,12.2
2011-10-31 12:00:00,20,12.2
2011-10-31 12:00:00,21,12.2
2011-10-31 12:00:00,22,12.2
2011-10-31 12:00:00,23,12.1
2011-10-31 12:00:00,24,12.1
2011-10-31 12:00:00,24.5,12.1
2012-02-22 12:00:00,0,1.9
2012-02-22 12:00:00,1,2.8
2012-02-22 12:00:00,2,2.8
2012-02-22 12:00:00,3,2.8
2012-02-22 12:00:00,4,2.8
2012-02-22 12:00:00,5,2.8
2012-02-22 12:00:00,6,2.8
2012-02-22 12:00:00,7,2.8
2012-02-22 12:00:00,8,2.8
2012-02-22 12:00:00,9,2.8
2012-02-22 12:00:00,10,2.8
2012-02-22 12:00:00,11,2.8
2012-02-22 12:00:00,12,2.9
2012-02-22 12:00:00,13,3
2012-02-22 12:00:00,14,3.1
2012-02-22 12:00:00,15,3.1
2012-02-22 12:00:00,16,3.2
2012-02-28 12:00:00,1,NA
2012-02-28 12:00:00,3,NA
2012-02-28 12:00:00,4,NA
2012-02-28 12:00:00,5,NA
2012-03-21 12:00:00,0,7.3
2012-03-21 12:00:00,1,7.3
2012-03-21 12:00:00,2,7.2
2012-03-21 12:00:00,3,7.2
2012-03-21 12:00:00,4,7.1
2012-03-21 12:00:00,5,7
2012-03-21 12:00:00,6,7
2012-03-21 12:00:00,7,6.9
2012-03-21 12:00:00,8,6.9
2012-03-21 12:00:00,9,6.9
2012-03-21 12:00:00,10,6.8
2012-03-21 12:00:00,11,6.8
2012-03-21 12:00:00,12,6.8
2012-03-21 12:00:00,13,6.7
2012-03-21 12:00:00,14,6.7
2012-03-21 12:00:00,15,6.6
2012-03-21 12:00:00,16,6.6
2012-03-21 12:00:00,17,6.6
2012-03-21 12:00:00,18,6.6
2012-03-21 12:00:00,19,6.5
2012-03-21 12:00:00,20,6.2
2012-03-21 12:00:00,21,6.1
2012-03-21 12:00:00,22,6.1
